event_id,store_id,campaign_id,product_code,base_price,promo_type,quantity_sold(before_promo),quantity_sold(after_promo),product_name,category,city,campaign_name,start_date,end_date,revenue_before,revenue_after,quantity_change,revenue_change
3a3e96,STBLR-6,CAMP_DIW_01,P07,300,BOGOF,68,263,Atliq_Curtains,Home Care,Bengaluru,Diwali,12-11-2023,18-11-2023,20400,78900,195,58500
8f1624,STVJD-0,CAMP_DIW_01,P10,65,50% OFF,57,75,Atliq_Cream_Beauty_Bathing_Soap (125GM),Personal Care,Vijayawada,Diwali,12-11-2023,18-11-2023,3705,4875,18,1170
b8269b,STBLR-1,CAMP_DIW_01,P13,350,BOGOF,77,232,Atliq_High_Glo_15W_LED_Bulb,Home Appliances,Bengaluru,Diwali,12-11-2023,18-11-2023,26950,81200,155,54250
c6ca4d,STHYD-2,CAMP_SAN_01,P02,860,33% OFF,465,646,Atliq_Sonamasuri_Rice (10KG),Grocery & Staples,Hyderabad,Sankranti,10-01-2024,16-01-2024,399900,555560,181,155660
987463,STBLR-0,CAMP_SAN_01,P07,300,BOGOF,45,185,Atliq_Curtains,Home Care,Bengaluru,Sankranti,10-01-2024,16-01-2024,13500,55500,140,42000
0b51fe,STHYD-3,CAMP_SAN_01,P10,50,25% OFF,39,29,Atliq_Cream_Beauty_Bathing_Soap (125GM),Personal Care,Hyderabad,Sankranti,10-01-2024,16-01-2024,1950,1450,-10,-500
d1ceaf,STBLR-5,CAMP_SAN_01,P10,50,25% OFF,36,29,Atliq_Cream_Beauty_Bathing_Soap (125GM),Personal Care,Bengaluru,Sankranti,10-01-2024,16-01-2024,1800,1450,-7,-350
d834f0,STMYS-3,CAMP_SAN_01,P08,1190,BOGOF,34,147,Atliq_Double_Bedsheet_set,Home Care,Mysuru,Sankranti,10-01-2024,16-01-2024,40460,174930,113,134470
1ed982,STCHE-6,CAMP_DIW_01,P13,350,BOGOF,75,252,Atliq_High_Glo_15W_LED_Bulb,Home Appliances,Chennai,Diwali,12-11-2023,18-11-2023,26250,88200,177,61950
e9c690,STMDU-3,CAMP_SAN_01,P09,90,25% OFF,45,38,Atliq_Body_Milk_Nourishing_Lotion (120ML),Personal Care,Madurai,Sankranti,10-01-2024,16-01-2024,4050,3420,-7,-630
268ca2,STVJD-0,CAMP_SAN_01,P15,3000,500 Cashback,63,151,Atliq_Home_Essential_8_Product_Combo,Combo1,Vijayawada,Sankranti,10-01-2024,16-01-2024,189000,453000,88,264000
a1624e,STHYD-1,CAMP_DIW_01,P02,860,33% OFF,351,449,Atliq_Sonamasuri_Rice (10KG),Grocery & Staples,Hyderabad,Diwali,12-11-2023,18-11-2023,301860,386140,98,84280
31b59d,STVSK-3,CAMP_SAN_01,P10,50,25% OFF,27,21,Atliq_Cream_Beauty_Bathing_Soap (125GM),Personal Care,Visakhapatnam,Sankranti,10-01-2024,16-01-2024,1350,1050,-6,-300
82454e,STMLR-1,CAMP_DIW_01,P05,55,25% OFF,54,48,Atliq_Scrub_Sponge_For_Dishwash,Home Care,Mangalore,Diwali,12-11-2023,18-11-2023,2970,2640,-6,-330
1548f8,STVSK-4,CAMP_SAN_01,P15,3000,500 Cashback,100,175,Atliq_Home_Essential_8_Product_Combo,Combo1,Visakhapatnam,Sankranti,10-01-2024,16-01-2024,300000,525000,75,225000
84a2f4,STCHE-7,CAMP_SAN_01,P04,370,BOGOF,423,1801,Atliq_Farm_Chakki_Atta (1KG),Grocery & Staples,Chennai,Sankranti,10-01-2024,16-01-2024,156510,666370,1378,509860
9e59d5,STVSK-1,CAMP_DIW_01,P05,55,25% OFF,64,49,Atliq_Scrub_Sponge_For_Dishwash,Home Care,Visakhapatnam,Diwali,12-11-2023,18-11-2023,3520,2695,-15,-825
873333,STMLR-0,CAMP_DIW_01,P15,3000,500 Cashback,196,509,Atliq_Home_Essential_8_Product_Combo,Combo1,Mangalore,Diwali,12-11-2023,18-11-2023,588000,1527000,313,939000
8b751b,STMLR-0,CAMP_SAN_01,P05,55,25% OFF,15,12,Atliq_Scrub_Sponge_For_Dishwash,Home Care,Mangalore,Sankranti,10-01-2024,16-01-2024,825,660,-3,-165
f856b9,STMLR-2,CAMP_SAN_01,P15,3000,500 Cashback,66,147,Atliq_Home_Essential_8_Product_Combo,Combo1,Mangalore,Sankranti,10-01-2024,16-01-2024,198000,441000,81,243000
dcaa89,STHYD-6,CAMP_SAN_01,P13,350,BOGOF,100,403,Atliq_High_Glo_15W_LED_Bulb,Home Appliances,Hyderabad,Sankranti,10-01-2024,16-01-2024,35000,141050,303,106050
677e2c,STHYD-1,CAMP_SAN_01,P13,350,BOGOF,122,326,Atliq_High_Glo_15W_LED_Bulb,Home Appliances,Hyderabad,Sankranti,10-01-2024,16-01-2024,42700,114100,204,71400
b00eeb,STCHE-0,CAMP_SAN_01,P08,1190,BOGOF,51,196,Atliq_Double_Bedsheet_set,Home Care,Chennai,Sankranti,10-01-2024,16-01-2024,60690,233240,145,172550
8ff468,STVJD-0,CAMP_SAN_01,P03,200,BOGOF,193,773,Atliq_Suflower_Oil (1L),Grocery & Staples,Vijayawada,Sankranti,10-01-2024,16-01-2024,38600,154600,580,116000
72f6b4,STTRV-0,CAMP_SAN_01,P02,860,33% OFF,241,344,Atliq_Sonamasuri_Rice (10KG),Grocery & Staples,Trivandrum,Sankranti,10-01-2024,16-01-2024,207260,295840,103,88580
300664,STHYD-5,CAMP_DIW_01,P13,350,BOGOF,80,276,Atliq_High_Glo_15W_LED_Bulb,Home Appliances,Hyderabad,Diwali,12-11-2023,18-11-2023,28000,96600,196,68600
7ecbbb,STHYD-1,CAMP_DIW_01,P06,415,25% OFF,103,88,Atliq_Fusion_Container_Set_of_3,Home Care,Hyderabad,Diwali,12-11-2023,18-11-2023,42745,36520,-15,-6225
2dc515,STMYS-3,CAMP_SAN_01,P01,172,33% OFF,232,294,Atliq_Masoor_Dal (1KG),Grocery & Staples,Mysuru,Sankranti,10-01-2024,16-01-2024,39904,50568,62,10664
a4fb0b,STMDU-0,CAMP_SAN_01,P02,860,33% OFF,318,448,Atliq_Sonamasuri_Rice (10KG),Grocery & Staples,Madurai,Sankranti,10-01-2024,16-01-2024,273480,385280,130,111800
f2d198,STTRV-1,CAMP_DIW_01,P03,156,25% OFF,166,157,Atliq_Suflower_Oil (1L),Grocery & Staples,Trivandrum,Diwali,12-11-2023,18-11-2023,25896,24492,-9,-1404
df5c15,STBLR-5,CAMP_DIW_01,P06,415,25% OFF,101,90,Atliq_Fusion_Container_Set_of_3,Home Care,Bengaluru,Diwali,12-11-2023,18-11-2023,41915,37350,-11,-4565
4e6a19,STHYD-3,CAMP_SAN_01,P07,300,BOGOF,45,121,Atliq_Curtains,Home Care,Hyderabad,Sankranti,10-01-2024,16-01-2024,13500,36300,76,22800
6436da,STMDU-1,CAMP_SAN_01,P08,1190,BOGOF,30,118,Atliq_Double_Bedsheet_set,Home Care,Madurai,Sankranti,10-01-2024,16-01-2024,35700,140420,88,104720
852b4f,STHYD-5,CAMP_SAN_01,P12,62,50% OFF,49,70,Atliq_Lime_Cool_Bathing_Bar (125GM),Personal Care,Hyderabad,Sankranti,10-01-2024,16-01-2024,3038,4340,21,1302
26322a,STMLR-0,CAMP_DIW_01,P10,65,50% OFF,52,71,Atliq_Cream_Beauty_Bathing_Soap (125GM),Personal Care,Mangalore,Diwali,12-11-2023,18-11-2023,3380,4615,19,1235
57576d,STBLR-5,CAMP_SAN_01,P08,1190,BOGOF,49,194,Atliq_Double_Bedsheet_set,Home Care,Bengaluru,Sankranti,10-01-2024,16-01-2024,58310,230860,145,172550
af646e,STHYD-4,CAMP_SAN_01,P11,190,50% OFF,54,78,Atliq_Doodh_Kesar_Body_Lotion (200ML),Personal Care,Hyderabad,Sankranti,10-01-2024,16-01-2024,10260,14820,24,4560
ccbc3a,STTRV-0,CAMP_DIW_01,P06,415,25% OFF,52,49,Atliq_Fusion_Container_Set_of_3,Home Care,Trivandrum,Diwali,12-11-2023,18-11-2023,21580,20335,-3,-1245
572031,STBLR-6,CAMP_SAN_01,P03,200,BOGOF,423,1734,Atliq_Suflower_Oil (1L),Grocery & Staples,Bengaluru,Sankranti,10-01-2024,16-01-2024,84600,346800,1311,262200
5a21a5,STBLR-4,CAMP_SAN_01,P10,50,25% OFF,31,26,Atliq_Cream_Beauty_Bathing_Soap (125GM),Personal Care,Bengaluru,Sankranti,10-01-2024,16-01-2024,1550,1300,-5,-250
c6bf42,STCBE-3,CAMP_DIW_01,P07,300,BOGOF,52,173,Atliq_Curtains,Home Care,Coimbatore,Diwali,12-11-2023,18-11-2023,15600,51900,121,36300
f5ff07,STCHE-6,CAMP_DIW_01,P11,190,50% OFF,80,100,Atliq_Doodh_Kesar_Body_Lotion (200ML),Personal Care,Chennai,Diwali,12-11-2023,18-11-2023,15200,19000,20,3800
2c8137,STVSK-3,CAMP_SAN_01,P07,300,BOGOF,31,77,Atliq_Curtains,Home Care,Visakhapatnam,Sankranti,10-01-2024,16-01-2024,9300,23100,46,13800
4e3a3d,STVJD-0,CAMP_DIW_01,P02,860,33% OFF,197,285,Atliq_Sonamasuri_Rice (10KG),Grocery & Staples,Vijayawada,Diwali,12-11-2023,18-11-2023,169420,245100,88,75680
582098,STMYS-1,CAMP_SAN_01,P14,1020,BOGOF,109,453,Atliq_waterproof_Immersion_Rod,Home Appliances,Mysuru,Sankranti,10-01-2024,16-01-2024,111180,462060,344,350880
9387d1,STHYD-6,CAMP_DIW_01,P02,860,33% OFF,329,470,Atliq_Sonamasuri_Rice (10KG),Grocery & Staples,Hyderabad,Diwali,12-11-2023,18-11-2023,282940,404200,141,121260
6c9451,STVSK-0,CAMP_DIW_01,P03,156,25% OFF,259,225,Atliq_Suflower_Oil (1L),Grocery & Staples,Visakhapatnam,Diwali,12-11-2023,18-11-2023,40404,35100,-34,-5304
9c74f7,STBLR-9,CAMP_DIW_01,P09,110,50% OFF,71,90,Atliq_Body_Milk_Nourishing_Lotion (120ML),Personal Care,Bengaluru,Diwali,12-11-2023,18-11-2023,7810,9900,19,2090
c3bbcc,STBLR-2,CAMP_SAN_01,P07,300,BOGOF,31,122,Atliq_Curtains,Home Care,Bengaluru,Sankranti,10-01-2024,16-01-2024,9300,36600,91,27300
00a25a,STCHE-3,CAMP_SAN_01,P12,62,50% OFF,64,89,Atliq_Lime_Cool_Bathing_Bar (125GM),Personal Care,Chennai,Sankranti,10-01-2024,16-01-2024,3968,5518,25,1550
7b0f7d,STVJD-1,CAMP_DIW_01,P01,172,33% OFF,180,255,Atliq_Masoor_Dal (1KG),Grocery & Staples,Vijayawada,Diwali,12-11-2023,18-11-2023,30960,43860,75,12900
